id,preco
13518783164498355150900635905895481162,71116.00652119954
299896161723793383246777788797566040330,98204.75318134134
316180649972302128246133616457018378621,232308.80692152967
222527157104148385909188217274642813298,96790.26998205108
160460343059850745858546502614838368036,107445.97393730824
262727202368986244371977784343233436999,62134.948968389726
254093764205800086330999281077926851120,162035.19764269522
26118184613036116787803832945215674478,245371.77302365348
216524630140335566712794225427064313,249245.12311529383
185631381169816366226494379020452029389,289684.61300192744
193325654448132563278364141820152041311,160295.77658593358
238917637717691361625086479663492481749,105266.4226716543
55430829679256880238551444522175018156,92200.41502393156
215317645068876070368783807654911699750,202830.2675618588
81597227204971961501733390453078413740,171212.81348642881
144896666825908872755051834814298387194,75770.49477737902
184599608599423525451999366981389806783,315168.197280335
332523842755767369964829329030378044388,138259.4365903138
115343777354602647202140618045743635008,193838.91060819454
20757170217235469489036110086071917277,88973.94863591492
185526399598537813925895625787601650168,101429.87292680699
60658042813489826886245400795986219027,91652.16362782776
252469656136469704862465423825396909961,281541.7575209919
144289133420257677937750963126363910239,123853.77333854727
286704706212186527658783613441315754259,118263.8973862835
104788498292328609834480593297039083847,80785.81785172578
83091551517048057678460117003997132666,248839.70719033724
253819240599250454081144283787356606601,75953.28793713464
47552100267769170589122325402191982347,149357.11162150832
143932540867090135955180920741784357244,151291.32487380342
196345985565471044954698780677909306202,186346.6164437263
244792708737468723430839923035345593106,66862.9713739851
84589940414664494482357035061818012137,84221.79707414162
272199586960887794853261858460695880945,116844.05981406296
49959439507026713714422386346459644032,84126.05742964656
281026519311657672970881937258693325762,47422.25378548604
93074564150014753673961081882123830374,213839.80445017727
26728401390792884431172378844166640182,381949.3239493201
188211565885838356078706489204052877949,63543.1395954841
72487946181948797581370306862646034491,110426.1624434334
228864048115975611203958077134700148633,125287.7920230982
112454259487642510247400972640243226784,147097.0210924651
222663295482952330188872827964862490542,69735.96407960333
174300102534868734265445704595501072047,94450.25653041869
65616068149477861830943576277231644996,164851.1450733567
12512429268260634755522419284910697215,425441.2281309258
336344009530167442733355949279054127993,48688.66941078242
79522286518792634854353998912967788405,65456.73250368374
82689802293775881487902613650793199776,152642.99031124884
145087209205382180995284342956932775590,91983.22372419751
148379644220249469735831915363404593938,65617.1203031741
81783415914068556337040372580510327746,99617.05988257324
17392005129747944984443660408573750669,69353.96631845756
221003909581330971303914733428302885356,207507.908887592
32270994133870633595828638411924379558,131497.20775410262
44743423162474884539743903954385097896,139662.381939693
256739781367016694034266877805520625472,241046.25096056546
102069821313289958956134954896763391138,158716.78642522608
295239204594155572903470420706758961711,79302.13763175247
217043924033496343963491521400562422856,100378.82715551644
230630223901851276472648163541398202700,65232.34466998585
228794583325189840821498523768389390979,151970.16886437577
226883211751919793077312253417502568887,136233.74039413035
178727794896076301413017290746899811351,65616.48889479866
233324434070255280697734700180958891999,122553.7033620371
120196782885257163651164953359063822616,47798.49101326008
307587965035124177469706843302286678852,66039.25245067739
147918433942232310306879997092064646229,62474.99221276791
322862357217576382174561616320866894896,196780.85588564654
239523402888574028389406143855331971634,392301.58710963826
113509983214540261664688743850173663995,91304.95251713847
109891169875096641331353504149265117244,156685.99092740534
14047284765259674200352849951505593080,105681.89136790612
185048785858081984334746723407963750558,126647.6817209102
233408161489868303803711823496315975517,113595.94974085473
271868823659695867806389462405507434039,149869.05340580526
234266752075173490649523075655294035700,98851.9143953764
135193714861901808768224625797727405125,80408.65519018803
65383514239248595231552479759479421653,120309.26840624255
763500554236946546082152173974002095,74670.96929528343
263071556455718053803505933844459615897,115370.9088665234
251187863725990533753089128740859478739,52238.43356260636
254288424794027625207128200628830798586,315645.7603481512
286319605986498380547161295324785273852,142080.89064350777
18156444762146185587945140921021289232,118674.56589594016
132399590521100913284690334248594447552,55836.89956801596
103484450878268999171337512911053865440,323998.0834506985
3912270241651523146374566983699340012,260367.31952625205
289442719100949424990356122406061188257,70598.28316981364
78107569099680024366542029001316825040,87759.24948997312
35630579392702895703343792092821020757,120120.53064350695
180495442974534219664033650975071179678,101262.12515072354
310808003231123687601982759789167595573,86952.20915719279
281412885789869246852489114984059535931,96335.13423346843
115834922999693545296191213987693964898,93430.75496393828
5731801982113473737231393645963779999,102062.19973695712
256716164818036322373140286568690396129,157448.20741013886
287091925155434474451326927701130603179,139983.86904000727
34260218896401614964439670738816901101,79037.09660018435
129711525134942617432200032446355408594,72824.39858064373
63813447393601008165654825811986411111,66233.7044401456
233957718806307342910872106898233148735,129068.71470367778
138508589382193076883186189654019084427,121098.06078516175
